m1 m2 m3 m4 m5 m6 m7 t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile
11 21 -822.736 -829.499 71197.4 5737.46 -0.15899 65.4416 65.8611 66.2165 82.0459 96.4032 120.984 128.547 131.316
13 11 -812.354 -869.841 341121 368045 -492.505 315.263 316.058 317.43 335.035 351.786 370.386 390.387 396.42
7 13 -866.798 -850.138 -452.267 -627.458 -689.496 1855.94 1857.99 1859.79 1874.86 1887.41 1900.28 1904.6 1909.74
13 10 -726.011 -753.389 -692.838 -788.278 -796.954 2183.8 2186.05 2189.02 2198.47 2206.49 2221.21 2229.15 2237.09
12 11 -743.933 -818.29 -776.769 -772.657 -754.396 2442.75 2445.02 2446.82 2455.92 2463.61 2482.62 2497.16 2512.69
6 5 -643.157 -677.54 -693.455 -721.278 -731.758 2747.64 2750.15 2753.07 2762.47 2772.32 2778.57 2783.57 2788.95
11 18 -678.968 -714.79 -708.603 -699.818 -701.715 4047.98 4050.83 4053.94 4069.94 4083.81 4089.85 4092.51 4095.38
13 7 -661.576 -742.397 -722.64 -726.466 -719.693 5976.46 5980.24 5984.59 5992.48 5997.67 6007.88 6013.53 6018.68
9 14 -730.38 -732.243 -678.011 -732.443 -736.261 137.928 138.537 139.147 154.23 168.104 180.437 186.053 191.589
15 8 -739.391 -815.825 -526.377 -528.954 -554.383 393.128 394.096 394.949 408.585 421.768 425.193 427.651 430.457
6 9 -731.992 -720.497 -706.76 -721.685 -738.986 1380.73 1382.5 1385 1397.71 1409.11 1415.67 1419.57 1423.49
9 2 -655.955 -730.069 78928.1 -481.423 -532.132 1533.24 1535.59 1538.05 1545.49 1550.36 1585.76 1599.09 1611.12
9 2 -668.619 -731.131 -511.005 -677.301 -698.576 1803.2 1805.31 1807.4 1812.3 1816.64 1844.27 1854.29 1864.07
10 11 -742.022 -767.887 -548.587 -588.733 -608.153 2784.18 2787.29 2791.55 2804.69 2815.89 2838.97 2845.07 2850.58
9 6 -689.877 -707.683 -881.628 -866.987 -896.747 2974.46 2977.2 2979.34 2987.57 2995.02 3028.26 3039.2 3049.76
14 16 -854.512 -869.769 -701.392 -733.879 -724.801 3433.8 3436.79 3439.34 3457.83 3475.5 3482.02 3485.35 3488.45
9 20 -820.776 -865.905 -598.714 -674.893 -653.589 3539.04 3541.98 3544.69 3563.13 3580.34 3585.89 3588.54 3591.38
12 11 -790.538 -800.838 -887.226 -893.274 -903.699 6018.57 6022.44 6027.03 6038.25 6048.67 6056.04 6059.03 6061.9
8 15 -694.029 -772.098 -673.382 -674.247 -676.653 6213.56 6217.14 6220.58 6236.55 6250.47 6257.44 6260.22 6263.12
13 19 -895.133 -898.585 425242 7820.58 -520.335 6483.39 6486.97 6490.07 6509.72 6528.2 6548.52 6553.46 6556.56
7 3 -763.942 -776.661 -702.687 -726.084 -749.551 7952.3 7956.54 7960.26 7966.59 7971.58 7986.76 7996.77 8006.28
6 11 -830.319 -862.365 -636.131 -826.697 -837.724 0.240563 0.399357 0.566622 12.3496 21.8571 24.3328 27.1626 29.9411
11 14 -832.525 -858.073 64608.7 -463.577 -662.662 161.621 162.223 162.75 178.669 193.347 217.325 220.929 223.906
15 13 -775.395 -747.356 -784.383 -873.638 -898.683 578.212 579.258 580.189 590.629 599.762 618.087 629.799 642.263
17 7 -649.305 -694.594 -752.464 -851.498 -862.677 873.212 874.571 876.138 884.532 891.071 896.291 900.064 904.344
8 10 -803.496 -864.61 -659.593 -680.573 -680.282 1085.85 1087.31 1089.06 1100.84 1114.07 1123.2 1130.9 1138.94
9 13 -798.288 -831.002 -655.916 -723.862 -742.082 1722 1723.85 1725.38 1737.07 1747.21 1756.39 1763.46 1771.37
11 3 -720.299 -824.309 -710.31 -745.229 -745.025 2563.53 2565.95 2568.65 2576.22 2582.5 2588.87 2592.11 2595.07
2 26 -825.955 -845.575 -692.109 -727.015 -818.819 2637.57 2639.99 2642.52 2663.66 2683.87 2702.92 2712.21 2723.11
11 5 -831.765 -853.361 -266.108 -422.345 -415.145 4306.3 4309.47 4312.58 4318.54 4322.98 4333.15 4338.66 4343.91
5 14 -885.57 -923.252 -776.625 -786.21 -782.899 5406.7 5410.18 5413.45 5431.24 5447.63 5459.62 5464.13 5468.12
10 2 -747.799 -770.336 120170 2914.42 -322.115 5570.66 5574.23 5577.71 5585.47 5591.05 5618.26 5624.2 5626.95
4 4 -587.778 -583.391 -618.482 -718.855 -727.88 7229.64 7233.58 7237.39 7243.59 7249.18 7257.51 7261.16 7265.03
13 21 -850.775 -902.717 -637.214 -769.057 -749.901 29.1271 29.4042 29.6859 49.3643 66.7052 82.8488 88.7594 94.1801
7 10 -727.977 -768.33 391769 -512.349 -587.063 394.03 394.931 395.762 404.39 411.498 452.238 459.871 463.632
8 4 -748.59 -750.607 -614.969 -613.703 -616.091 992.293 993.668 995.57 1001.31 1005.99 1009.9 1012.65 1015.65
8 2 -876.531 -937.433 -588.888 -704.51 -736.855 2411 2413.27 2415.67 2424.55 2431.85 2445.26 2451.88 2457.94
7 1 -667.84 -676.527 -696.546 -706.7 -713.097 4047.75 4050.65 4053.77 4060.48 4064.49 4072.56 4077.09 4081.34
11 11 -751.304 -761.335 215951 -654.851 -718.203 6766.8 6770.61 6774.28 6785.71 6795.76 6833.33 6844.57 6853.01
12 9 -719.67 -749.354 -857.258 -855.089 -858.919 984.61 986.438 988.467 1002.75 1015.7 1020.96 1023.67 1026.44
13 7 -793.179 -775.567 -622.954 -667.039 -668.618 3333.2 3336.5 3340.13 3351.66 3360.91 3368.92 3372.17 3375.48
4 17 -782.557 -930.745 -812.576 -814.408 -821.497 7683.32 7688.96 7693.12 7712.14 7728.89 7742.94 7749.87 7757.35
9 8 -643.174 -700.359 32521.3 -545.19 -701.033 23.0715 23.3236 23.5717 35.6901 45.5087 66.6365 70.4809 74.6186
7 6 -783.038 -821.152 -546.726 -647.385 -667.036 132.95 133.442 134.035 143.529 151.73 174.02 181.486 187.55
6 18 -785.666 -806.179 -649.142 -722.854 -727.454 268.069 268.726 269.618 285.876 300.591 306.489 310.225 314.056
9 8 -800.067 -824.437 -674.881 -733.135 -733.451 1078.98 1080.59 1081.97 1092.1 1100.84 1108.12 1112.49 1116.74
11 1 -556.734 -692.144 -746.215 -782.81 -791.616 2441.46 2443.75 2445.82 2451.53 2455.59 2467.08 2472.21 2477.46
7 9 -641.606 -706.706 -605.269 -618.58 -632.649 4629.52 4632.71 4636.17 4647.45 4656.33 4664.05 4667 4670.34
9 6 -654.682 -711.254 22515.2 -571.792 -653.125 4899.29 4902.56 4906.65 4916.3 4923.15 4955.15 4959.53 4963.88
9 14 -849.101 -873.191 -693.161 -739.021 -740.362 4.54749 4.73736 4.92852 20.4326 34.7217 38.1796 42.3014 46.8669
16 12 -710.796 -745.614 -761.105 -779.997 -779.967 47.7623 48.0439 48.277 59.9547 69.5194 78.2005 84.7969 90.9946
9 7 -667.733 -678.887 -644.275 -642.681 -644.534 450.507 451.431 452.466 462.863 473.053 477.343 480.237 482.996
13 5 -828.398 -895.076 -735.159 -715.444 -716.689 484.85 485.77 486.766 494.191 500.737 507.53 512.053 516.505
9 12 -820.73 -828.242 221709 -419.263 -555.275 1206.04 1207.55 1208.6 1221.83 1235.22 1268.17 1276.01 1280.44
11 5 -811.51 -922.25 -639.191 -622.206 -573.787 2966.85 2969.39 2972.12 2978.43 2983.5 3011.97 3015.11 3018.81
13 2 -730.739 -741.907 270277 -545.074 -549.335 3510.99 3513.69 3516.58 3523.25 3528.27 3555.92 3559.94 3563.05
7 21 -824.117 -820.475 -615.927 -656.307 -678.372 4951.77 4955 4958 4971.88 4983.86 4994.71 4998.33 5002.21
6 7 -723.927 -744.506 -950.095 -1037.06 -1140.08 6701.24 6705.19 6708.82 6716.74 6723.93 6767.98 6795.03 6822.86
3 7 -809.832 -848.861 -605.312 -605.992 -607.714 6862.1 6865.94 6869.87 6877.82 6884.18 6891.97 6895.23 6898.15
12 14 -655.252 -663.8 -743.395 -765.705 -754.948 7069.16 7073.14 7077.5 7091.6 7103.44 7117.78 7125.04 7132.15
11 17 -795.033 -849.286 294346 -651.406 -711.386 7718.91 7722.93 7726.84 7744.12 7759.64 7779.51 7787.23 7790.91
10 9 -700.187 -757.589 -596.772 -680.465 -668.622 139.505 140.153 140.694 153.294 162.832 169.134 173.471 177.761
10 18 -849.131 -865.57 -668.521 -705.106 -744.315 178.706 179.519 180.831 199.13 215.918 229.065 239.552 249.256
14 12 -804.008 -802.845 -495.901 -587.869 -636.417 641.132 642.233 643.87 659.383 673.765 700.888 704.79 708.504
6 16 -848.262 -874.795 -767.345 -809.823 -815.766 1134.87 1136.45 1138.05 1149.62 1161.23 1171.1 1178.9 1186.46
14 9 -739.459 -672.515 -662.788 -733.352 -745.031 2102.27 2104.37 2106.22 2115.57 2122.2 2133.96 2142.45 2151.12
6 7 -737.761 -784.065 -730.124 -758.129 -769.752 2395.48 2397.69 2400.32 2411.28 2420.55 2428.84 2436.15 2442.58
11 16 -809.942 -883.179 -684.385 -807.503 -838.631 3076.95 3079.37 3082.4 3095.33 3106.19 3126.63 3140.46 3154.41
13 2 -792.066 -848.6 1766.68 -453.939 -566.259 3239.91 3242.53 3245.84 3252.52 3257.93 3277.63 3280.76 3284.09
10 10 -837.288 -888.708 -670.401 -673.665 -673.324 28.012 28.3574 28.6554 39.6916 48.2968 51.7521 55.6105 59.3569
8 7 -803.599 -829.696 -527.435 -672.706 -742.313 61.2082 61.6028 62.0265 71.2551 79.219 86.5854 91.9251 96.7847
15 20 -925.752 -950.958 -425.308 -600.565 -606.566 106.374 106.707 106.983 126.788 146.3 162.128 165.593 168.792
11 5 -740.781 -787.762 -857.522 -892.705 -905.986 462.123 463.072 463.894 471.744 478.506 482.825 486.185 489.572
1 16 -846.823 -900.068 -530.305 -593.737 -635.736 920.859 922.152 923.712 940.498 955.07 971.2 976.921 983.581
15 15 -809.642 -803.259 -733.71 -756.967 -761.458 1091.83 1093.35 1095.25 1108.58 1119.47 1134.44 1139.32 1144.69
16 9 -830.353 -832.755 -774.275 -814.564 -828.491 2584.41 2586.7 2589.67 2599.99 2608.44 2622.05 2634.19 2645.85
18 1 -623.19 -709.377 -522.809 -634.499 -631.459 7214.67 7218.8 7223.06 7228.78 7233.36 7240.55 7243.62 7246.69
16 10 -646.285 -686.878 -483.426 -525.047 -567.258 200.937 201.642 202.56 216.019 227.742 240.544 245.798 251.834
6 4 -648.903 -703.021 108699 -717.424 -821.002 441.34 442.336 443.94 450.081 454.644 470.769 478.998 489.085
8 6 -713.459 -806.915 -640.387 -617.6 -693.342 765.339 766.593 767.834 776.895 785.501 789.139 791.804 795.402
13 7 -607.538 -682.442 110496 -678.817 -739.23 1408.07 1409.9 1411.43 1421.47 1430.37 1448.47 1460.48 1469.99
8 9 -762.156 -755.779 -755.969 -756.351 -762.093 1548.05 1549.81 1552.31 1561.57 1569.37 1574.69 1577.99 1581.85
8 1 -724.383 -752.798 -826.159 -864.884 -893.865 2257.87 2260.12 2262.03 2268.93 2274.37 2284.5 2294.01 2303.98
7 18 -825.88 -880.888 38588.5 -504.113 -554.541 2611.66 2613.9 2615.86 2631.76 2645.87 2696.7 2700.47 2704.17
11 1 -699.854 -720.622 -631.194 -673.75 -682.962 2789.56 2791.97 2794.54 2802.41 2808.35 2814.59 2817.94 2821.24
4 3 -708.627 -723.17 -892.199 -900.588 -969.128 2848.75 2851.24 2853.49 2860.43 2865.49 2894.88 2921.49 2946.63
12 6 -673.383 -774.669 -468.719 -587.841 -613.83 3320.48 3323.1 3325.71 3337.34 3347.07 3355.36 3358.91 3362.98
8 12 -733.472 -730.409 -671.357 -681.037 -683.897 3762.45 3765.19 3768.35 3781.77 3792.87 3801.19 3805.32 3809.67
6 3 -768.56 -816.971 -604.111 -695.481 -704.058 5154.38 5157.6 5160.6 5168.66 5176.26 5187.43 5191.42 5195.88
13 3 -628.33 -744.379 -730.93 -738.141 -766.851 6600.92 6604.69 6608.69 6614.54 6618.91 6625.29 6627.9 6630.49
9 8 -658.489 -667.622 -626.238 -649.905 -655.397 6944.23 6947.99 6951.6 6960.47 6967 6974.81 6978.27 6981.98
8 16 -850.799 -873.308 -563.627 -616.899 -620.061 496.568 497.658 498.939 512.937 526.114 530.644 534.36 538.211
12 8 -840.15 -834.915 -657.781 -650.313 -649.803 2346.34 2348.69 2351.19 2360.72 2368.89 2374.21 2377.13 2380.14
13 21 -774.443 -889.469 -657.28 -774.593 -776.764 2519.86 2522.32 2524.07 2540.54 2556.65 2563.05 2566.26 2569.28
15 17 -758.803 -763.251 -528.786 -539.284 -574.17 4052.19 4055.29 4058.25 4072.36 4085.27 4108.23 4112.34 4116.61
