SCORE: total_score         rms     cen_rms complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13  f_b-site f_combined-copy f_combined_buns-copy f_combined_buns2-copy f_contact-designable f_contact-designable_copy f_contact-hphobic_with_designable f_contact-hphobic_with_designable_copy                                 f_sasa                                 fa_atr                                 fa_dun                                fa_elec fa_intra_rep fa_intra_sol_xover4              fa_rep              fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb hbonds_int lk_ball_wtd          m1          m2          m3          m4          m5          m6          m7    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close rama_prepro         ref    sc_value side1_normalized side1_score side2_normalized side2_score     st_rmsd t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile yhh_planarity description 
SCORE:   -1001.286      11.571      11.571                nan              0.000              0.000        0.000                  0.000         0.000     0.000       0.000             0.000     0.000     0.000        -333.762                6.000                 0.000                0.000                     6.000                             0.000                                  8.000                                  0.000                              -2639.096                                625.469                               -734.249        6.047             109.841             310.244            1667.747            0.000     -41.638     -27.112     -66.776    -269.041      0.000     -82.427      10.000       8.000    -730.932    -748.834  574068.750    -326.966    -333.762       0.000       0.000      37.136     -93.030       0.000                  0.000     3.596      46.395     144.937       0.000              nan       0.000              nan       0.000      12.000           379.882           380.668           381.393           395.554           408.295           422.968           430.047           432.025         0.670 0.22.h_tag.vav-dh_2vrw_relaxed_0000575
SCORE:   -1006.591      16.252      16.252             -2.054            -54.428             -2.260      -48.619                 -2.019      1502.889  2408.557     905.668             6.000     0.000     0.000        -714.430                5.000                 3.000                0.000                    10.000                             0.000                                 14.000                               2408.557                              -2676.214                                629.471                               -766.180        6.470             113.194             322.604            1706.558            0.166     -55.255     -26.154     -63.719    -259.622      6.000     -74.676       8.000      16.000    -839.229    -837.180  224195.297    -657.255    -714.430     490.000      85.000      46.029     -95.014       0.551                 -1.800     6.069      54.206     124.753       0.000           -2.243    -112.148           -1.168     -40.870       3.000          2225.485          2227.684          2229.851          2249.534          2267.803          2287.366          2295.434          2299.607         0.890 0.22.h_tag.vav-dh_2vrw_relaxed_0001753
SCORE:   -1013.250      19.348      19.348             -2.068            -23.185             -2.149      -19.066                 -1.767       654.783  1079.002     424.219             7.000     0.000     0.000        -567.623                2.000                 4.000                0.000                     3.000                             0.000                                  6.000                               1079.002                              -2606.455                                592.733                               -762.420        5.801             101.577             300.894            1667.936            0.237     -45.434     -27.599     -55.039    -273.334      3.000     -80.621      14.000       7.000    -676.449    -714.520    -485.633    -429.374    -567.623     490.000      52.000      38.337     -87.972       0.511                 -2.545     2.583      63.751     151.166       0.000           -2.799     -75.580           -2.271     -56.774      21.000          2421.367          2424.432          2427.560          2435.716          2441.358          2472.916          2476.422          2480.021         0.844 0.22.h_tag.vav-dh_2vrw_relaxed_0001796
SCORE:   -1016.685       7.256       7.256             -2.075            -87.260             -2.590      -58.303                 -1.731      2208.386  3369.030    1160.644            16.000     0.000     0.000        -735.751                8.000                 8.000                0.000                     7.000                             1.000                                 12.000                               3369.030                              -2658.345                                612.760                               -736.537        5.888             105.758             326.129            1677.954            0.070     -49.460     -21.822     -63.080    -268.825      3.000     -81.933      15.000      13.000    -781.237    -802.002  233431.016    -740.042    -735.751     490.000     114.000      44.175     -92.609       0.557                 -1.749     4.527      40.887     136.985       0.000           -1.957    -119.394           -1.510     -80.037       0.000          1038.795          1040.751          1043.100          1060.273          1075.954          1095.216          1102.570          1108.409         0.862 0.22.h_tag.vav-dh_2vrw_relaxed_0001113
SCORE:   -1034.108      10.400      10.400             -2.110            -33.578             -2.399      -24.356                 -1.740       823.334  1399.934     576.600             5.000     0.000 944823.375        -595.224                1.000                 5.000                0.000                     7.000                             0.000                                  8.000                               1399.934                              -2721.486                                649.689                               -795.336        5.851             106.690             328.989            1720.090            0.224     -50.152     -36.113     -69.988    -262.500      5.000     -75.033      16.000       7.000    -811.477    -804.552    -445.342    -600.400    -595.224     490.000      54.000      54.343     -87.882       0.517                 -2.451     3.676      62.573     131.886       0.000           -2.673     -85.549           -2.127     -46.801      10.000            32.771            33.095            33.518            42.170            49.019            73.154            77.394            81.579         0.596 0.22.h_tag.vav-dh_2vrw_relaxed_0000161
SCORE:   -1038.515       5.139       5.139             -2.119            -28.965             -1.573      -19.787                 -1.074      1030.216  1841.737     811.521             6.000     0.000   746.825        -521.446                2.000                 5.000                3.000                     1.000                             3.000                                  2.000                               1841.737                              -2712.079                                625.870                               -763.460        5.948             100.100             341.835            1662.206            0.254     -48.139     -38.458     -53.561    -265.219      5.000     -78.945      11.000       2.000    -703.810    -716.156    -141.611    -483.864    -521.446     490.000      79.000      47.478     -90.093       0.519                 -1.914     4.408      70.996     151.819       0.000           -1.784     -69.570           -2.041     -81.655       2.000           443.181           444.312           445.403           454.320           461.564           499.655           504.222           509.143         0.781 0.22.h_tag.vav-dh_2vrw_relaxed_0000672
SCORE:   -1044.669      15.149      15.149             -2.132            -50.105             -1.969      -35.148                 -1.381      1522.729  2545.219    1022.490            19.000     0.000 112485.195        -615.607                4.000                 6.000                0.000                     1.000                             0.000                                  1.000                               2545.219                              -2713.778                                612.458                               -773.198        6.079             103.296             342.581            1716.876            0.286     -53.997     -36.509     -60.409    -262.606      9.000     -81.094       7.000       1.000    -729.992    -742.765    -505.511    -622.128    -615.607     490.000     107.000      40.819     -90.923       0.513                 -2.158     4.054      49.030     151.762       0.000           -2.463    -130.523           -1.859    -100.385       1.000           889.174           891.062           892.520           898.758           904.501           928.209           933.870           939.304         0.889 0.22.h_tag.vav-dh_2vrw_relaxed_0001022
SCORE:   -1049.245      15.633      15.633             -2.141            -30.401             -2.214      -21.768                 -1.585       665.524  1373.055     707.531             4.000     0.000 440061.281        -576.193                6.000                 2.000                0.000                     8.000                             0.000                                 11.000                               1373.055                              -2732.100                                653.916                               -772.280        6.211             111.345             331.404            1707.788            0.542     -56.801     -25.735     -70.896    -264.301      8.000     -81.564       6.000      13.000    -800.461    -819.519    -318.384    -486.145    -576.193     490.000      48.000      48.317     -93.600       0.474                 -1.865     3.072      49.747     135.042       0.000           -1.888     -49.092           -1.837     -40.418      18.000          2980.617          2983.415          2986.155          3001.093          3014.426          3041.125          3044.953          3048.482         1.189 0.22.h_tag.vav-dh_2vrw_relaxed_0001956
SCORE:   -1056.815       6.192       6.192             -2.157            -23.955             -2.685      -20.490                 -2.297       647.776   892.216     244.440             1.000     0.000     0.000        -632.440                1.000                 1.000                0.000                     7.000                             0.000                                 11.000                                892.216                              -2655.528                                597.209                               -737.564        5.716             100.957             300.788            1684.399            0.083     -53.312     -12.963     -68.963    -263.029      1.000     -83.443      11.000      12.000    -763.789    -827.802    5348.081    -504.231    -632.440     490.000      30.000      41.147     -95.388       0.612                 -2.104     3.734      42.785     136.190       0.000           -2.811     -36.548           -1.563     -26.565       6.000           261.839           262.504           263.133           273.819           284.048           308.925           311.496           314.136         0.452 0.22.h_tag.vav-dh_2vrw_relaxed_0000375
SCORE:   -1070.279      12.541      12.541             -2.184            -31.611             -2.215      -28.261                 -1.981      1001.193  1426.876     425.683             6.000     0.000     0.000        -644.273                6.000                 2.000                0.000                     5.000                             0.000                                  5.000                               1426.876                              -2720.317                                643.387                               -787.413        5.994             105.709             315.622            1722.565            0.030     -57.176     -28.853     -66.549    -262.189      1.000     -72.154      11.000       6.000    -858.556    -853.710  376363.906    -501.473    -644.273     490.000      61.000      44.343     -93.327       0.553                 -2.226     3.401      42.759     133.381       0.000           -2.676     -66.912           -1.913     -68.852       5.000           407.670           408.688           410.406           420.835           430.448           448.795           452.266           455.281         0.538 0.22.h_tag.vav-dh_2vrw_relaxed_0000671
